date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:56	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Jul%202020%2014:02:57%20GMT	https://aglp.biz/robots.txt		(from )
12:02:56	38294/38294	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202020%2014:02:57%20GMT	https://aglp.biz/landingpageplanner/	C:/My%20Web%20Sites/Landing%20Page/aglp.biz/landingpageplanner/index.html	(from )
12:02:57	21558/21558	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Dec%202018%2007:49:42%20GMT	https://aglp.biz/img/agoodlandingpage-icon.png	C:/My%20Web%20Sites/Landing%20Page/aglp.biz/img/agoodlandingpage-icon.png	(from https://aglp.biz/landingpageplanner/)
12:02:58	70896/70896	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jul%202020%2008:55:31%20GMT	https://aglp.biz/images/uploads/1003/2737/5efef283e39d4_1593766097298.jpg?0.40147528954098033	C:/My%20Web%20Sites/Landing%20Page/aglp.biz/images/uploads/1003/2737/5efef283e39d4_159376609729824b9.jpg	(from https://aglp.biz/landingpageplanner/)
12:02:58	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Jul%202020%2014:02:59%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Landing%20Page/connect.facebook.net/en_US/fbevents.js	(from https://aglp.biz/landingpageplanner/)
12:02:59	4214/4214	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Jan%202019%2003:45:12%20GMT	https://aglp.biz/landingpageplanner/bundles/timeto.css	C:/My%20Web%20Sites/Landing%20Page/aglp.biz/landingpageplanner/bundles/timeto.css	(from https://aglp.biz/landingpageplanner/)
12:03:00	632652/632652	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jan%202020%2014:30:03%20GMT	https://aglp.biz/landingpageplanner/bundles/Professional_skeleton.css	C:/My%20Web%20Sites/Landing%20Page/aglp.biz/landingpageplanner/bundles/Professional_skeleton.css	(from https://aglp.biz/landingpageplanner/)
12:03:02	48662/48662	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Jan%202019%2004:35:06%20GMT	https://aglp.biz/bundles/countdown-placeholder.png	C:/My%20Web%20Sites/Landing%20Page/aglp.biz/bundles/countdown-placeholder.png	(from https://aglp.biz/landingpageplanner/)
12:03:02	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Jan%202019%2017:59:05%20GMT	https://aglp.biz/landingpageplanner/bundles/jquery.min.js	C:/My%20Web%20Sites/Landing%20Page/aglp.biz/landingpageplanner/bundles/jquery.min.js	(from https://aglp.biz/landingpageplanner/)
12:03:02	145460/145460	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jul%202020%2008:56:30%20GMT	https://aglp.biz/images/uploads/1003/2737/5efef2be254e0_1.jpg?0.4350331862700345	C:/My%20Web%20Sites/Landing%20Page/aglp.biz/images/uploads/1003/2737/5efef2be254e0_1eb7f.jpg	(from https://aglp.biz/landingpageplanner/)
